ngram,brand,functional,functional_pri,technical
quality,,quality,durability,
speakers,,,,audio
philips,Philips,,,
cheap,,cost,monetary,
cheaper,,cost,monetary,
cheapest,,cost,monetary,
inexpensive,,cost,monetary,
expensive,,cost,monetary,
economical,,cost,monetary,
sony,Sony,,,
soft,,texture,quality,
softer,,texture,quality,
softest,,texture,quality,
smooth,,texture,quality,
smoother,,texture,quality,
smoothest,,texture,quality,
noise cancellation,,,,audio
noise cancelling,,,,audio
rough,,texture,quality,
rougher,,texture,quality,
roughest,,texture,quality,
functional,,working,working,
working,,working,working,
condition,,working,working,
beautiful,,look,quality,
neat,,packaging,quality,
neater,,packaging,quality,
neatest,,packaging,quality,
comfortable,,comfort,quality,
audio,,,,audio
jack,,,,audio
output,,,,audio
bass,,,,audio
strong,,quality,durability,
stronger,,quality,durability,
strongest,,quality,durability,
elasticity,,quality,durability,
elastic,,quality,durability,
break,,quality,durability,
snap,,quality,durability,
snapped,,quality,durability,
snaps,,quality,durability,
breaks,,quality,durability,
broke,,quality,durability,
cushion,,comfort,quality,
packaging,,packaging,quality,
package,,packaging,quality,
packing,,packaging,quality,
durability,,quality,durability,
durable,,quality,durability,
price,,cost,monetary,
priced,,cost,monetary,
prices,,cost,monetary,
pricey,,cost,monetary,
short,,comfort,quality,
shorter,,comfort,quality,
shortest,,comfort,quality,
small,,comfort,quality,
smaller,,comfort,quality,
smallest,,comfort,quality,
flimsy,,quality,durability,
flimsier,,quality,durability,
flimsiest,,quality,durability,
works fine,,working,working,
works right,,working,working,
works great,,working,working,
noise  cancelling,,working working,,audio
length,,comfort,quality,
lengthier,,comfort,quality,
lengthiest,,comfort,quality,
hearing,,working,working,
earbuds,,comfort,quality,audio
audiobooks,,,,audio
audio,,,,audio
hurt,,comfort,quality,
hurting,,comfort,quality,
pressure,,comfort,quality,
pressurised,,comfort,quality,
pressurized,,comfort,quality,
jbl,JBL,,,
samsung,Samsung,,,
apple,Apple,,,
skullcandy,SkullCandy,,,
amazonbasics,AmazonBasics,,,
bose,Bose,,,
inland,Inland,,,
tzumi,Tzumi,,,
ausdom,Ausdom,,,
ailihen,Ailihen,,,
bellybuds,Bellybuds,,,
ce tech,CE Tech,,,
intone,Intone,,,
jam,Jam,,,
mpow,MPOW,,,
orient horizon,Orient Horizon,,,
plugfones,Plugfones,,,
senso,Senso,,,
sonlipo,Sonlipo,,,
vogek,Vogek,,,
rymemo,Rymemo,,,
clear,,quality,working,audio
clearer,,quality,working,audio
clearest,,quality,working,audio
lightweight,,comfort,quality,
premium,,quality,quality,
stretch,,quality,durability,
stretches,,quality,durability,
tight,,quality,durability,
sennheiser,Sennheiser,,,
seimens,Seimens,,,
loud,,quality,working,volume
louder,,quality,working,volume
loudest,,quality,working,volume
loud and clear,,quality,working,
crank,,,,volume
volume,,,,volume
volume control,,,,volume
konk,,quality,durability,
high end,,quality,quality,
space,,,,space
spacious,,,,space
vivid,,quality,quality,audio
sound,,,,audio
wattage,,quality,working,
great value,,cost,monetary,
logitech,Logitech,,,
altec,Altec,,,
wzk,WZK,,,
anker,Anker,,,
oontz,Oontz,,,
apie,APIE,,,
doss,Doss,,,
soundcore,Soundcore,,,
zoeetree,ZoeeTree,,,
lenrue,LENRUE,,,
cyber acoustics,Cyber Acoustics,,,
dual electronics,Dual Electronics,,,
zenbre,ZENBRE,,,
edifier usa,Edifier USA,,,
edifier,Edifier,,,
cowin,Cowin,,,
polk audio,Polk Audio,,,
mancassy,Mancassy,,,
micca,Micca,,,
klipsch,Klipsch,,,
xleader,XLeader,,,
comiso,Comiso,,,
muzili,Muzili,,,
beats,Beats,,,
amber,Amber,,,
long,,comfort,quality,
longer,,comfort,quality,
longest,,comfort,quality,
power,,quality,quality,output
footprint,,comfort,quality,
crystal clear,,quality,working,audio
clarity,,quality,working,audio
midtones,,color,quality,
frequency,,quality,quality,audio
frequencies,,quality,quality,audio
amplifier,,quality,quality,audio
amplification,,quality,quality,audio
amplifying,,quality,quality,audio
amplify,,quality,quality,audio
tweeters,,,,audio
crisp,,quality,quality,audio
sound card,,,,tech parts
pc,,,,tech parts
dynamics,,quality,quality,audio
sale,,cost,monetary,
tweak,,,,tech parts
port,,,,tech parts
nexus,Google Nexus,,,
plastic,,features,,tech parts
plasticky,,,,sound
fidelity,,brand loyalty,loyalty,
improve,,quality,quality,
heavy,,comfort,quality,
heavier,,comfort,quality,
height,,comfort,quality,
slippery,,comfort,quality,
antiskid,,comfort,quality,
anti skid,,comfort,quality,
listenable,,comfort,quality,audio
dim,,quality,,quality
muzili,Muzili,,,
elegiant,Eligiant,,,
jsaux,JSAUX,,,
aomais,AOMAIS,,,
axess,Axess,,,
pioneer,Pioneer,,,
demerbox,DemerBox,,,
elac,ELAC,,,
acoustic audio,Acoustic Audio,,,
photive,Photive,,,
onyx,Onyx,,,
harman kardon,Harman Kardon,,,
marshall stanmore,Marshall Stanmore,,,
marshall,Marshall,,,
veho,Veho,,,
arvicka,Arvicka,,,
nubwo,Nubwo,,,
mix hero,Mix Hero,,,
big magicbox,Big Magicbox,,,
rockford fosgate,Rockford Fosgate,,,
creative labs,Creative Labs,,,
ltgem,LTGEM,,,
yamaha,Yamaha,,,
taotronics,TaoTronics,,,
sound appeal,Sound Appeal,,,
hake,Hake,,,
co2crea,Co2Crea,,,
asimom,ASIMOM,,,
fit perfect,,comfort,quality,
fits perfect,,comfort,quality,
fitted perfect,,comfort,quality,
cord,,,,tech parts
cable,,,,tech parts
clutter,,comfort,quality,
satellite,,,,tech parts
monitors,,,,tech parts
knob,,,,tech parts
computer,,,,tech parts
surround sound,,quality,quality,audio
panels,,,,tech parts
new model,,,,new model
crackling,,quality,working,volume
hissing,,quality,working,volume
popping,,quality,working,volume
big,,comfort,quality,
bigger,,comfort,quality,
quiet,,quality,working,volume
fast,,speed,,
cooling,,quality,working,
o2cool,O2Cool,,,
honeywell,Honeywell,,,
b-air,B-Air,,,
b air,B Air,,,
holmes,Holmes,,,
lasko,Lasko,,,
bionaire,bionaire,,,
pelonis,Pelonis,,,
comfort zone,Comfort Zone,,,
patton,Patton,,,
vornado,Vornado,,,
dynamic collections,Dynamic Collections,,,
ufo,UFO,,,
best choice products,Best Choice Products,,,
ontel,Ontel,,,
vmi,VMI,,,
lorell,Lorell,,,
corsair,Corsair,,,
genesis,Genesis,,,
dyson,Dyson,,,
misty mist,Misty Mist,,,
hurricane,Hurricane,,,
skygenius,SkyGenius,,,
leicho,Leicho,,,
sancusto,Sancusto,,,
versiontech,VerisionTech,,,
xtremepowerus,XtremepowerUS,,,
optimus,Optimus,,,
hampton bay,Hampton Bay,,,
rowenta,Rowenta,,,
sunmay,Sunmay,,,
hot,,temperature,,
steamy,,temperature,,
portable,,comfort,,
noisy,,comfort,working,
blows,,working,,
setting,,,,settings
sound levels,,working,,
quick,,features,,
easy,,comfort,,
blades,,features,,tech parts
the exterior,,features,,tech parts
humid,,climate,,
features,,features,,
plugs,,,,tech parts
cold,,temperature,,
newair,NewAir,,,
whirlpool,Whirlpool,,,
spt,SPT,,,
lg,LG,,,
panasonic,Panasonic,,,
ge,GE,,,
luma comfort,Luma Comfort,,,
frigidaire,Frigidaire,,,
heartbeat,Heartbeat,,,
fitfirst,FitFirst,,,
bella elegance,Bella Elegance,,,
jhs,JHS,,,
sunpentown,Sunpentown,,,
cajun kooling,Cajun Kooling,,,
atomic beam,Atomic Beam,,,
madoats,Madoats,,,
new view,New View,,,
rxment,Rxment,,,
klarstein,Klarstein,,,
aivant,Aivant,,,
vshow,Vshow,,,
jcshhub,JCSHHub,,,
aircondone,Aircondone,,,
yachance,Yachance,,,
evapolar,Evapolar,,,
whynter,Whynter,,,
aiker,Aiker,,,
keystone,Keystone,,,
tripp lite,Tripp Lite,,,
living basix,Living Basix,,,
homelabs,hOmeLabs,,,
zabring,Zabring,,,
anbber,Anbber,,,
lemebo,Lemebo,,,
kiber,Kiber,,,
jinhot,JinHot,,,
ponobo,Ponobo,,,
lohome,Lohome,,,
quilo,Quilo,,,
koldfront,Koldfront,,,
hessaire products,Hessaire Products,,,
hessaire,Hessaire Products,,,
homedics,Homedics,,,
tonha,Tonha,,,
homeair,HomeAir,,,
chilling,,temperature,,
chill,,temperature,,
re-freezable,,features,,
re freezable,,features,,
freezable,,features,,
degrees,,temperature,,
water,,working,,
design,,look,,
convenient,,comfort,,
convenience,,comfort,,
oscillating,,features,,
oscillation,,features,,
control panel,,,,tech parts
humidifier,,,,tech parts
moist,,texture,,
rosewill,RoseWill,,,
westinghouse,Westing House,,,
dr infrared heater,Dr Infrared Heater,,,
costway,Costway,,,
delonghi,DeLonghi,,,
kaz,Kaz,,,
opolar,Opolar,,,
brightown,Brightown,,,
intex,Intex,,,
electrolux,Electrolux,,,
tetra,Tetra,,,
fire sense,Fire Sense,,,
coolbot,CoolBot,,,
cadet,Cadet,,,
heater sports,Heater Sports,,,
camp chef,Camp Chef,,,
camco,Camco,,,
superland,Superland,,,
edenpure,Edenpure,,,
ecosmart,Ecosmart,,,
texsport,Texsport,,,
suburban,Suburban,,,
papaviva,PapaViva,,,
otoolworld,OToolWorld,,,
magicook,Magicook,,,
whirring,,noise,working,
squealing,,noise,working,
replacement,,features,,
replace,,features,,
operate,,working,,
operation,,working,,
mechanism,,working,,
electric,,,,tech parts
magnetic,,,,tech parts
overheated,,temperature,working,tech parts
heating up,,temperature,working,tech parts
tw,TW,,,
nutrichef,NutriChef,,,
general electric,General Electric,,,
secura,Secura,,,
isiler,Isiler,,,
magic,Magic,,,
cusibox,CusiBox,,,
duxtop,Duxtop,,,
weiman,Weiman,,,
cerama bryte,Cerama Bryte,,,
elco lab,Elco Lab,,,
empava,Empava,,,
safeplus,SafePlus,,,
true induction,True Induction,,,
melissa and doug,Melissa and Doug,,,
melissa,Melissa and Doug,,,
doug,Melissa and Doug,,,
copper chef,Copper Chef,,,
nuwave,NuWave,,,
affresh,Affresh,,,
paderno world cuisine,Paderno World Cuisine,,,
kenyon,Kenyon,,,
aicook,Aicook,,,
american and efird,American and Efird,,,
dg studio,DG Studio,,,
8th team,8th Team,,,
safety first,Safety First,,,
cusinart,Cusinart,,,
pny,PNY,,,
ntse,NTSE,,,
sandisk,SanDisk,,,
sabrent,Sabrent,,,
kexin,Kexin,,,
kingston,Kingston,,,
luboton,Luboton,,,
belkin,Belkin,,,
mosdart,mosDart,,,
hikpacker,Hikpacker,,,
topesel,Topesel,,,
transcend,Transcend,,,
simmax,Simmax,,,
gorilladrive,GorillaDrive,,,
raoyi,Raoyi,,,
amazon,Amazon,,,
sundata,SunData,,,
dongcoh,DongCoh,,,
kootion,Kootion,,,
ezdiy,EZDIY,,,
rhapsody and mogan,Rhapsody and Mogan,,,
rhapsody & mogan,Rhapsody & Mogan,,,
febniscte,Febniscte,,,
syncstop,SyncStop,,,
speed,,working,quality,speed
sturdy,,strength,durability,
flimsy,,strength,durability,
size,,size,,
mbs,,features,,size
mbps,,features,,size
transfers,,features,,
gbs,,features,,size
gbps,,features,,size
inconsistent,,working,quality,
transfer files,,,,size
processor,,,,tech parts
ssd,,,,tech parts
sdd,,,,tech parts
hdd,,,,tech parts
write speed,,features,quality,
partition,,features,,
application,,features,,
capacity,,features,,
tcl,TCL,,,
sceptre,Sceptre,,,
toshiba,Toshiba,,,
element,Element,,,
vizio,Vizio,,,
proscan,Proscan,,,
hisense,Hisense,,,
furinno,Furinno,,,
sharp,Sharp,,,
entertainment,,entertainment,entertainment,
netflix,,Netflix,entertainment,
amazon prime,,Amazon Prime,entertainment,
prime videos,,Prime videos,entertainment,
fire stick,,Fire Stick,entertainment,
internet,,features,,
dish,,features,,tech parts
watching tv,,entertainment,,
seeing tv,,entertainment,,
channels,,features,,
remote,,,,tech parts
shows,,entertainment,,
series,,entertainment,,
binge watching,,entertainment,,
binge watch,,entertainment,,
per year,,cost,monetary,
per month,,cost,monetary,
display,,features,,tech parts
streaming,,features,entertainment,
streaming online,,features,entertainment,
roku stick,,features,,
picture quality,,viewing experience,quality,
stunning picture quality,,viewing experience,quality,
buttons,,features,,tech parts
roku,,features,,
well designed,,features,quality,
google,Google,,,
pixellation,,quality,quality,
grains,,quality,quality,
disturbance,,quality,quality,
high definition,,features,quality,tech parts
stunning,,comfort,quality,
network,,features,,
movies,,entertainment,,
content,,content,,
hulu,,Hulu,entertainment,
account,,features,,
screen,,,,tech parts
apps,,features,,
applications,,features,,
echo dot,,features,,
echo,,features,,
youtube,,YouTube,entertainment,
ethernet cable,,,,tech parts
ethernet,,,,tech parts
bluetooth,,features,,tech parts
smart tv,,features,working,
alexa,,features,,
programs,,entertainment,,
watch a movie,,entertainment,entertainment,
playstation,,entertainment,,
