brand,content,strength,YouTube,features,working,look,quality,comfort,nan,entertainment,texture,packaging,cost,temperature,speed,size
Hurricane,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pioneer,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0
Jam,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
JBL,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
LG,0,0,0,1,2,1,0,1,0,2,0,0,1,1,0,0
Topesel,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TW,0,5,1,71,49,7,53,72,44,8,36,22,56,11,23,9
Febniscte,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
nan,1,15,1,279,430,56,238,410,2242,37,33,10,658,63,228,68
TCL,0,0,0,2,1,0,0,0,2,0,0,0,1,0,0,0
Toshiba,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
Amazon,0,0,0,8,7,1,12,8,12,1,3,1,8,4,3,1
Sabrent,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0
Logitech,0,0,0,2,1,0,1,1,0,0,0,0,0,0,1,0
Magic,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1
Samsung,0,0,0,11,12,5,4,13,2,0,1,0,4,1,4,0
Sceptre,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SunData,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0
GE,1,22,1,206,157,42,156,266,225,27,35,86,196,72,86,52
Anker,0,0,0,3,4,1,8,2,2,1,0,0,1,0,2,1
SanDisk,0,3,0,27,17,4,21,28,30,5,5,3,38,12,10,8
Kootion,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
PNY,0,1,0,10,10,2,6,6,9,3,2,2,12,2,4,3
Secura,0,1,0,11,5,1,8,7,12,3,3,1,10,3,4,0
Google,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
Apple,0,0,0,4,2,0,5,4,1,0,2,0,3,2,4,0
Belkin,0,0,0,2,0,2,0,2,2,0,0,1,3,0,0,0
Kingston,0,0,0,1,1,0,2,1,1,0,0,0,2,0,0,0
Beats,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
AmazonBasics,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Corsair,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0
Sharp,0,0,0,2,2,0,1,3,4,1,1,0,1,1,1,1
mosDart,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0
Senso,0,0,0,1,0,0,4,2,2,0,0,0,0,0,0,0
