brand,quality,space,nan,settings,tech parts,volume,output,audio,speed,size
Hurricane,0,0,0,0,1,0,0,1,0,0
Pioneer,0,0,1,0,1,0,1,1,0,0
Jam,0,0,1,0,0,0,0,0,1,0
JBL,0,0,0,0,1,0,0,0,0,0
LG,0,0,3,0,1,0,0,0,0,0
Topesel,0,0,0,0,1,0,0,0,0,0
TW,0,14,90,2,120,4,11,8,14,9
Febniscte,0,0,1,0,0,0,0,0,0,0
nan,2,62,2542,3,539,18,25,40,67,13
TCL,0,0,3,0,1,0,0,0,0,0
Toshiba,0,0,1,0,2,0,0,0,0,0
Amazon,0,0,21,0,16,0,2,1,2,2
Sabrent,0,0,0,0,2,0,2,0,1,0
Logitech,0,0,0,0,3,0,1,1,0,0
Magic,0,1,1,1,2,1,0,0,0,0
Samsung,0,0,7,0,9,0,0,1,8,1
Sceptre,0,0,0,0,1,0,1,1,0,0
SunData,0,0,1,0,1,0,0,0,0,0
GE,0,61,441,9,361,9,39,23,54,30
Anker,0,0,2,0,13,0,7,2,0,0
SanDisk,0,6,75,2,36,1,1,4,8,8
Kootion,0,0,0,0,1,0,0,0,0,0
PNY,0,5,24,0,9,0,0,0,5,3
Secura,0,2,20,1,15,1,0,1,1,2
Google,0,0,1,0,2,0,0,0,0,0
Apple,0,1,1,0,10,0,1,1,1,0
Belkin,0,1,1,0,8,0,0,1,0,0
Kingston,0,1,3,0,1,1,0,0,0,0
Beats,0,0,0,0,3,0,0,0,1,0
AmazonBasics,0,0,1,0,1,0,0,0,0,0
Corsair,0,0,1,0,1,0,0,0,1,0
Sharp,0,0,6,1,3,0,1,0,1,1
mosDart,0,0,0,0,1,0,0,0,0,0
Senso,0,0,1,1,5,0,3,0,0,0
